GEO_ID,NAME,DP03_0001E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0045E
id,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services",Estimate!!INDUSTRY!!Public administration
0500000US12069,"Lake County, Florida",243638,1660,9047,6809,2992,14880,5691,2703,7306,11931,23794,19511,6012
0500000US12071,"Lee County, Florida",516205,3007,23050,8438,6107,38584,11463,4854,18212,30657,49873,30213,10214
0500000US12073,"Leon County, Florida",229509,525,6076,3601,1898,15469,3298,2464,8104,16606,35263,15489,20780
0500000US12075,"Levy County, Florida",32981,938,1343,578,414,1917,820,131,794,1237,3356,1338,920
0500000US12077,"Liberty County, Florida",6956,246,362,246,151,325,14,24,65,165,545,53,406
0500000US12079,"Madison County, Florida",15591,316,486,866,190,784,449,70,222,502,1506,440,800
0500000US12081,"Manatee County, Florida",265892,2690,9129,10447,3308,19973,5092,2244,10012,15500,28368,12733,5728
0500000US12083,"Marion County, Florida",275737,3757,9920,8154,3373,18027,4800,2267,6806,11602,26760,12685,5450
0500000US12085,"Martin County, Florida",124185,766,4792,4074,1098,8382,2261,995,4253,7554,12015,6040,2385
0500000US12086,"Miami-Dade County, Florida",2032210,8203,81457,57872,49193,140353,80778,25157,84852,140842,229323,119446,43506
0500000US12087,"Monroe County, Florida",63702,1001,3108,1112,674,4384,2604,452,2738,3894,4703,7988,2887
0500000US12089,"Nassau County, Florida",59445,313,3204,2769,726,3739,2536,610,1721,2724,5978,4026,1900
