GEO_ID,NAME,B08015_001E,B08015_002E,B08015_003E
id,Geographic Area Name,"Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting","Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting!!Male","Estimate!!Aggregate number of vehicles (car, truck, or van) used in commuting!!Female"
0500000US29013,"Bates County, Missouri",6025,3190,2835
0500000US29015,"Benton County, Missouri",5295,2770,2525
0500000US29017,"Bollinger County, Missouri",4380,2400,1975
0500000US29019,"Boone County, Missouri",70915,35880,35035
0500000US29021,"Buchanan County, Missouri",35300,17745,17560
0500000US29023,"Butler County, Missouri",15760,7660,8105
0500000US29025,"Caldwell County, Missouri",3260,1770,1490
0500000US29027,"Callaway County, Missouri",17795,9130,8665
0500000US29029,"Camden County, Missouri",15115,7375,7745
0500000US29031,"Cape Girardeau County, Missouri",31430,16230,15200
0500000US29033,"Carroll County, Missouri",3420,1805,1615
0500000US29035,"Carter County, Missouri",2055,970,1090
0500000US29037,"Cass County, Missouri",41875,21860,20015
0500000US29039,"Cedar County, Missouri",4145,2040,2105
0500000US29041,"Chariton County, Missouri",2905,1410,1495
0500000US29043,"Christian County, Missouri",31780,16635,15145
0500000US29045,"Clark County, Missouri",2595,1360,1235
0500000US29047,"Clay County, Missouri",100480,52255,48220
0500000US29049,"Clinton County, Missouri",8255,4345,3910
0500000US29051,"Cole County, Missouri",32825,16550,16280
0500000US29053,"Cooper County, Missouri",6435,3230,3205
0500000US29055,"Crawford County, Missouri",7960,4100,3860
0500000US29057,"Dade County, Missouri",2655,1385,1270
0500000US29059,"Dallas County, Missouri",5340,2800,2540
0500000US29061,"Daviess County, Missouri",2805,1445,1360
0500000US29063,"DeKalb County, Missouri",3845,2040,1805
0500000US29065,"Dent County, Missouri",5180,2805,2370
0500000US29067,"Douglas County, Missouri",3865,2020,1845
0500000US29069,"Dunklin County, Missouri",10070,5170,4905
0500000US29071,"Franklin County, Missouri",41410,21765,19645
0500000US29073,"Gasconade County, Missouri",5675,2905,2770
0500000US29075,"Gentry County, Missouri",2425,1195,1230
0500000US29077,"Greene County, Missouri",114205,58975,55230
0500000US29079,"Grundy County, Missouri",3330,1750,1580
0500000US29081,"Harrison County, Missouri",3235,1715,1515
0500000US29083,"Henry County, Missouri",8370,4135,4235
0500000US29085,"Hickory County, Missouri",2475,1080,1395
