year,state,state_po,county_name,county_fips,office,candidate,party,demVotes,repVotes,totalvotes
2012,ARKANSAS,AR,NEVADA,5099,PRESIDENT,MITT ROMNEY,REPUBLICAN,1996,1388,3384
2012,ARKANSAS,AR,NEWTON,5101,PRESIDENT,BARACK OBAMA,DEMOCRAT,993,2668,3661
2012,ARKANSAS,AR,OUACHITA,5103,PRESIDENT,BARACK OBAMA,DEMOCRAT,4633,5682,10315
2012,ARKANSAS,AR,PERRY,5105,PRESIDENT,BARACK OBAMA,DEMOCRAT,1187,2751,3938
2012,ARKANSAS,AR,PHILLIPS,5107,PRESIDENT,BARACK OBAMA,DEMOCRAT,5202,2728,7930
2012,ARKANSAS,AR,PIKE,5109,PRESIDENT,BARACK OBAMA,DEMOCRAT,851,2937,3788
2012,ARKANSAS,AR,PIKE,5109,PRESIDENT,MITT ROMNEY,REPUBLICAN,2847,941,3788
2012,ARKANSAS,AR,POINSETT,5111,PRESIDENT,MITT ROMNEY,REPUBLICAN,4974,2586,7560
2012,ARKANSAS,AR,POLK,5113,PRESIDENT,MITT ROMNEY,REPUBLICAN,5955,1771,7726
2012,ARKANSAS,AR,POPE,5115,PRESIDENT,MITT ROMNEY,REPUBLICAN,14763,5676,20439
2012,ARKANSAS,AR,PRAIRIE,5117,PRESIDENT,MITT ROMNEY,REPUBLICAN,2153,988,3141
2012,ARKANSAS,AR,PULASKI,5119,PRESIDENT,BARACK OBAMA,DEMOCRAT,87248,72133,159381
2012,ARKANSAS,AR,RANDOLPH,5121,PRESIDENT,BARACK OBAMA,DEMOCRAT,2046,3910,5956
2012,ARKANSAS,AR,ST. FRANCIS,5123,PRESIDENT,BARACK OBAMA,DEMOCRAT,4910,3452,8362
2012,ARKANSAS,AR,SALINE,5125,PRESIDENT,BARACK OBAMA,DEMOCRAT,12869,34193,47062
2012,ARKANSAS,AR,SCOTT,5127,PRESIDENT,BARACK OBAMA,DEMOCRAT,897,2743,3640
2012,ARKANSAS,AR,SCOTT,5127,PRESIDENT,MITT ROMNEY,REPUBLICAN,2631,1009,3640
2012,ARKANSAS,AR,SEARCY,5129,PRESIDENT,MITT ROMNEY,REPUBLICAN,2699,995,3694
2012,ARKANSAS,AR,SEBASTIAN,5131,PRESIDENT,MITT ROMNEY,REPUBLICAN,29169,14193,43362
2012,ARKANSAS,AR,SEVIER,5133,PRESIDENT,MITT ROMNEY,REPUBLICAN,3136,1194,4330
2012,ARKANSAS,AR,SHARP,5135,PRESIDENT,MITT ROMNEY,REPUBLICAN,4921,2362,7283
2012,ARKANSAS,AR,STONE,5137,PRESIDENT,BARACK OBAMA,DEMOCRAT,1356,3998,5354
2012,ARKANSAS,AR,UNION,5139,PRESIDENT,BARACK OBAMA,DEMOCRAT,6196,10981,17177
