GEO_ID,NAME,DP03_0026E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E,DP03_0046E
id,Geographic Area Name,Estimate!!OCCUPATION!!Civilian employed population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!INDUSTRY!!Other services, except public administration",Estimate!!INDUSTRY!!Public administration,Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over
0500000US06113,"Yolo County, California",91843,2731,3816,4536,2271,8940,5190,1375,3854,10882,28837,7500,4829,7082,91843
0500000US06115,"Yuba County, California",24826,1807,1450,1212,891,2588,1588,712,628,2203,5165,2902,800,2880,24826
0500000US08001,"Adams County, Colorado",221721,4675,21261,21998,8306,24422,14513,5795,11721,28322,36831,21935,12605,9337,221721
0500000US08005,"Arapahoe County, Colorado",299664,3352,19730,16666,9502,34786,16429,11258,25620,42767,59393,32496,15286,12379,299664
0500000US08013,"Boulder County, Colorado",164525,1840,7797,16170,3632,14959,3005,6743,7815,32463,38400,18148,9364,4189,164525
0500000US08031,"Denver County, Colorado",334303,3755,22376,17555,8784,29224,14677,11178,28865,58928,67593,41065,16341,13962,334303
0500000US08035,"Douglas County, Colorado",152564,1643,8776,11400,4486,15997,5041,7810,17078,23652,32506,11579,6144,6452,152564
0500000US08041,"El Paso County, Colorado",282900,3309,19726,19244,4691,32844,12298,7273,18057,37241,59493,28273,17629,22822,282900
0500000US08059,"Jefferson County, Colorado",287067,4789,20281,21711,8461,29144,11563,7804,20907,42286,58997,31168,13275,16681,287067
0500000US08069,"Larimer County, Colorado",161730,5331,9189,16351,2994,19684,5732,3515,8494,19246,39969,16354,8440,6431,161730
0500000US08077,"Mesa County, Colorado",68951,4930,4798,3785,1964,9001,5247,549,4134,5505,16312,5846,4009,2871,68951
0500000US08101,"Pueblo County, Colorado",65715,495,5218,4040,1273,9241,3102,864,2412,5848,17876,7439,2910,4997,65715
0500000US08123,"Weld County, Colorado",125741,6142,10517,12212,4436,16440,6193,2739,5988,13607,25039,11892,6128,4408,125741
0500000US09001,"Fairfield County, Connecticut",456529,1057,27298,38956,10519,50379,14737,13059,55767,71137,101122,37892,25121,9485,456529
0500000US09003,"Hartford County, Connecticut",433531,889,20653,47214,11082,45094,15160,10500,48308,45086,120026,31439,18708,19372,433531
0500000US09005,"Litchfield County, Connecticut",100105,837,9556,10736,2074,11243,3751,2256,7697,9846,26996,7851,4259,3003,100105
0500000US09007,"Middlesex County, Connecticut",88525,361,5686,9308,2034,8654,3226,2253,8701,9304,23049,7368,4291,4290,88525
0500000US09009,"New Haven County, Connecticut",410919,1236,21379,50199,10958,45216,14920,10251,26304,36634,127751,34827,17623,13621,410919
0500000US09011,"New London County, Connecticut",133662,979,5042,17814,2471,14528,6035,1706,5541,11246,33110,24804,3984,6402,133662
0500000US09013,"Tolland County, Connecticut",79031,352,4440,8724,1771,6692,3940,1437,6815,5482,25659,5473,2782,5464,79031
0500000US09015,"Windham County, Connecticut",57860,1293,2951,6678,1338,9936,2359,816,2747,5170,14520,4857,2657,2538,57860
0500000US10001,"Kent County, Delaware",72128,1473,3809,6283,1650,11040,3995,767,3285,4419,17537,6138,3689,8043,72128
0500000US10003,"New Castle County, Delaware",263777,1435,15062,24956,5026,27839,11689,4920,34295,30851,62834,21257,11419,12194,263777
0500000US10005,"Sussex County, Delaware",91209,2106,7008,8946,1715,13597,4652,1391,4722,8624,19674,8581,4616,5577,91209
0500000US11001,"District of Columbia, District of Columbia",326957,208,10668,4116,1641,15412,10682,14367,16628,70682,66389,32087,30264,53813,326957
0500000US12001,"Alachua County, Florida",113902,757,4573,3793,3034,12628,3657,1323,7321,12830,42789,11293,5102,4802,113902
0500000US12005,"Bay County, Florida",77011,539,3814,4211,1509,9798,2571,1448,5264,9977,16084,10445,3664,7687,77011
0500000US12009,"Brevard County, Florida",223938,1310,12951,25395,4572,29867,9160,4800,11073,28539,48213,23262,12296,12500,223938
0500000US12011,"Broward County, Florida",870103,2550,53460,41241,32021,121212,47622,18707,71844,119977,183543,91486,47921,38519,870103
0500000US12015,"Charlotte County, Florida",55033,263,3353,2242,1152,10009,2187,767,4107,7621,11177,6134,3325,2696,55033
0500000US12017,"Citrus County, Florida",44227,218,1934,2541,591,6033,3821,264,1860,3435,11727,6213,2971,2619,44227
0500000US12019,"Clay County, Florida",84609,551,7190,4014,2080,11775,7185,1589,5175,8786,20177,6251,4010,5826,84609
0500000US12021,"Collier County, Florida",135719,4243,14236,4933,2433,20133,4874,1130,11209,16271,24074,20735,7520,3928,135719
0500000US12023,"Columbia County, Florida",N,N,N,N,N,N,N,N,N,N,N,N,N,N,24093
0500000US12031,"Duval County, Florida",391869,1372,19184,22249,7019,48008,30259,6165,45584,46708,81599,42562,20156,21004,391869
0500000US12033,"Escambia County, Florida",124251,1398,7512,5450,1438,19818,5954,1435,9582,10651,30796,15671,7538,7008,124251
0500000US12035,"Flagler County, Florida",33820,188,1655,1676,578,6506,1297,470,2333,3576,7621,4912,1773,1235,33820
0500000US12053,"Hernando County, Florida",52790,154,2907,2286,1978,7958,2375,918,3314,4446,15747,5708,2407,2592,52790
0500000US12055,"Highlands County, Florida",29031,1582,1855,1295,640,3956,1120,333,1732,2376,6938,2871,1975,2358,29031
0500000US12057,"Hillsborough County, Florida",588529,5748,37406,31823,17629,75704,26375,14606,57328,80414,127360,61174,26033,26929,588529
0500000US12061,"Indian River County, Florida",49309,1145,3623,2864,1993,8193,1197,862,3520,4878,11499,3876,3029,2630,49309
0500000US12069,"Lake County, Florida",113423,2140,8650,5334,2641,13779,5355,3652,4967,10861,24763,20259,5463,5559,113423
0500000US12071,"Lee County, Florida",252620,2167,21347,8233,5604,40840,9411,4179,18311,31450,53830,36238,11812,9198,252620
0500000US12073,"Leon County, Florida",141466,488,4412,3334,2336,19890,2719,3020,7817,18374,34093,16127,8979,19877,141466
0500000US12081,"Manatee County, Florida",138278,2613,6677,12705,3081,21683,5110,1961,9665,16370,31440,14797,6856,5320,138278
0500000US12083,"Marion County, Florida",115893,2978,6117,9408,3228,20639,4566,2099,6525,11031,25545,12713,5697,5347,115893
0500000US12085,"Martin County, Florida",55462,560,4687,3476,1339,6730,2301,1155,4571,7116,12368,6658,2949,1552,55462
0500000US12086,"Miami-Dade County, Florida",1164745,11255,76269,56573,53967,142064,77066,22785,88735,145713,245255,125468,74908,44687,1164745
0500000US12087,"Monroe County, Florida",38077,686,2875,878,1055,4702,2113,378,3051,3525,3973,10156,1272,3413,38077
0500000US12089,"Nassau County, Florida",28637,269,2975,2698,424,3015,2020,538,1321,2655,5877,3753,1180,1912,28637
0500000US12091,"Okaloosa County, Florida",85390,283,5050,5154,804,11870,4391,1030,6240,10236,13114,13071,4796,9351,85390
0500000US12095,"Orange County, Florida",585536,2586,28862,27574,15097,83201,26304,14621,37942,81128,108739,114138,27342,18002,585536
0500000US12097,"Osceola County, Florida",127184,587,4173,4729,2975,20700,8499,1218,6735,15714,21114,30999,5284,4457,127184
0500000US12099,"Palm Beach County, Florida",596834,6927,38159,27542,16709,76986,25198,12912,44318,93237,126904,71349,35648,20945,596834
0500000US12101,"Pasco County, Florida",178121,1095,11863,9625,4080,23646,6975,5005,16264,20577,44100,16950,9625,8316,178121
0500000US12103,"Pinellas County, Florida",413218,1652,20387,30583,12128,59414,14455,7895,38015,57869,92354,43280,19751,15435,413218
0500000US12105,"Polk County, Florida",232760,6562,14716,14088,7402,36247,11321,3694,13007,22293,49040,31518,12108,10764,232760
0500000US12107,"Putnam County, Florida",24667,1117,2392,1805,606,3009,936,63,1597,2592,5151,2189,778,2432,24667
