GEO_ID,NAME,DP05_0001E,DP05_0002E,DP05_0003E,DP05_0004E,DP05_0005E,DP05_0006E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0023E,DP05_0024E,DP05_0059E,DP05_0060E,DP05_0061E,DP05_0062E,DP05_0063E,DP05_0064E,DP05_0065E,DP05_0081E
id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Male,Estimate!!SEX AND AGE!!Female,Estimate!!SEX AND AGE!!Under 5 years,Estimate!!SEX AND AGE!!5 to 9 years,Estimate!!SEX AND AGE!!10 to 14 years,Estimate!!SEX AND AGE!!15 to 19 years,Estimate!!SEX AND AGE!!20 to 24 years,Estimate!!SEX AND AGE!!25 to 34 years,Estimate!!SEX AND AGE!!35 to 44 years,Estimate!!SEX AND AGE!!45 to 54 years,Estimate!!SEX AND AGE!!55 to 59 years,Estimate!!SEX AND AGE!!60 to 64 years,Estimate!!SEX AND AGE!!65 to 74 years,Estimate!!SEX AND AGE!!75 to 84 years,Estimate!!SEX AND AGE!!85 years and over,Estimate!!SEX AND AGE!!Male,Estimate!!SEX AND AGE!!Female,Estimate!!RACE!!White,Estimate!!RACE!!Black or African American,Estimate!!RACE!!American Indian and Alaska Native,Estimate!!RACE!!Asian,Estimate!!RACE!!Native Hawaiian and Other Pacific Islander,Estimate!!RACE!!Some other race,Estimate!!HISPANIC OR LATINO AND RACE!!Total population,Estimate!!Total housing units
0500000US50001,"Addison County, Vermont",36814,18438,18376,1700,2033,2144,3223,3023,3529,4547,6003,2927,2492,2885,1564,744,14493,14846,35688,441,328,702,37,144,36814,16760
0500000US50003,"Bennington County, Vermont",36990,17971,19019,1909,1994,2077,2684,2171,3343,4247,6010,3036,2525,3573,2520,901,13953,15502,36474,307,481,377,4,151,36990,20874
0500000US50005,"Caledonia County, Vermont",31170,15453,15717,1652,1896,1902,2281,1934,3301,3748,4799,2667,2114,2569,1590,717,11979,12471,30522,309,402,288,24,58,31170,15906
0500000US50007,"Chittenden County, Vermont",156696,76437,80259,7792,8402,8924,13795,16576,20597,20040,23912,10386,8262,9647,5647,2716,60564,65153,148226,4262,1398,5601,65,789,156696,65713
0500000US50009,"Essex County, Vermont",6316,3172,3144,271,337,367,385,270,542,784,1074,536,516,720,386,128,2543,2554,6211,50,79,30,10,36,6316,5020
0500000US50011,"Franklin County, Vermont",47853,23737,24116,2971,3145,3463,3288,2369,5728,6933,7917,3427,2729,3258,2038,587,17701,18391,46741,492,1240,326,0,284,47853,21591
0500000US50013,"Grand Isle County, Vermont",7032,3526,3506,342,334,445,446,303,656,912,1334,612,640,644,270,94,2795,2820,6946,22,243,38,5,20,7032,5048
0500000US50015,"Lamoille County, Vermont",24471,12251,12220,1497,1397,1529,1713,1593,2945,3349,3928,1933,1364,1877,970,376,9506,9579,24036,255,293,179,0,138,24471,12950
0500000US50017,"Orange County, Vermont",28980,14490,14490,1449,1636,1791,2028,1523,2957,3629,4993,2302,2312,2525,1270,565,11392,11534,28574,211,331,236,8,104,28980,14815
0500000US50019,"Orleans County, Vermont",27198,13568,13630,1402,1443,1802,1752,1444,2907,3309,4099,2377,1786,2701,1536,640,10698,10759,26731,248,397,138,5,49,27198,16181
0500000US50021,"Rutland County, Vermont",61599,30443,31156,2754,3074,3725,4319,4191,6017,7392,10151,5019,4632,5595,3344,1386,24253,25482,60643,528,500,520,5,306,61599,33743
0500000US50023,"Washington County, Vermont",59462,29375,30087,3064,3312,3499,4177,3694,6346,7831,9829,5200,3825,4670,2830,1185,23151,24121,58112,718,655,748,18,96,59462,29905
0500000US50025,"Windham County, Vermont",44310,21745,22565,2114,2369,2523,2857,2537,4591,5225,7503,3829,3522,4049,2321,870,17216,18368,43171,728,568,652,51,169,44310,29631
0500000US50027,"Windsor County, Vermont",56607,27823,28784,2758,3046,3270,3235,2552,6156,6715,9571,4897,4254,5584,3125,1444,22026,23344,55451,557,600,782,179,211,56607,34106
0500000US51001,"Accomack County, Virginia",33454,16230,17224,2000,2145,1765,1786,1880,3596,3743,5166,2597,2423,3548,2118,687,12530,13819,23188,10047,296,49,0,497,33454,21017
0500000US51003,"Albemarle County, Virginia",99484,47564,51920,5640,5926,6348,9085,7060,12298,12182,14111,6993,5400,7441,5003,1997,36712,41325,83917,10940,643,5501,2,1414,99484,42332
0500000US51005,"Alleghany County, Virginia",16297,7956,8341,767,1043,948,988,744,1376,2075,2468,1418,1081,1961,992,436,6157,6705,15353,886,9,180,0,29,16297,8064
0500000US51007,"Amelia County, Virginia",12674,6272,6402,725,932,594,944,579,1279,1756,2055,782,955,1260,596,217,4791,5060,9366,3173,140,105,18,65,12674,5369
0500000US51009,"Amherst County, Virginia",32301,15406,16895,1805,1424,2278,2576,1861,3262,4058,5061,2171,2336,3125,1741,603,11874,13603,25248,6599,481,240,18,479,32301,13972
0500000US51011,"Appomattox County, Virginia",14952,7374,7578,820,1014,894,843,857,1672,1850,2315,939,1123,1462,889,274,5584,6039,11691,3412,27,33,0,16,14952,6903
0500000US51013,"Arlington County, Virginia",209077,104287,104790,11961,9468,7241,7324,16699,57914,33291,25951,11620,9335,10274,5156,2843,87433,88618,155148,19772,1884,23507,421,15734,209077,105395
0500000US51015,"Augusta County, Virginia",73662,37616,36046,3679,3990,4932,4676,3724,7929,10034,12119,5706,4935,7002,3838,1098,29518,28525,69119,3213,404,560,105,951,73662,31249
0500000US51017,"Bath County, Virginia",4713,2286,2427,344,215,228,289,177,377,672,875,321,271,602,260,82,1828,1898,4499,169,0,34,0,11,4713,3056
0500000US51019,"Bedford County, Virginia",68750,33950,34800,3364,4205,4697,4338,3116,6203,9455,11585,5809,4685,6973,3298,1022,26277,27342,63911,4290,398,901,52,204,68750,31991
0500000US51021,"Bland County, Virginia",6827,3858,2969,213,296,470,352,379,677,1170,1028,531,505,740,322,144,3113,2494,6618,209,20,0,0,20,6827,3267
0500000US51023,"Botetourt County, Virginia",33074,16213,16861,1597,1823,2501,2157,1395,2667,4388,5747,2455,2753,3316,1744,531,12544,13206,31732,1337,86,265,0,108,33074,14555
0500000US51025,"Brunswick County, Virginia",17372,9118,8254,809,851,1004,1239,1287,2190,2120,2561,1283,1115,1627,982,304,7405,6642,7288,10056,22,71,17,78,17372,8151
0500000US51027,"Buchanan County, Virginia",24071,12227,11844,1072,1255,1192,1453,1289,2814,3251,4008,1881,1733,2527,1261,335,9923,9694,23210,505,169,175,0,73,24071,11605
