GEO_ID,NAME,DP03_0001E,DP03_0033E,DP03_0034E,DP03_0035E,DP03_0036E,DP03_0037E,DP03_0038E,DP03_0039E,DP03_0040E,DP03_0041E,DP03_0042E,DP03_0043E,DP03_0044E,DP03_0045E
id,Geographic Area Name,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,"Estimate!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",Estimate!!INDUSTRY!!Construction,Estimate!!INDUSTRY!!Manufacturing,Estimate!!INDUSTRY!!Wholesale trade,Estimate!!INDUSTRY!!Retail trade,"Estimate!!INDUSTRY!!Transportation and warehousing, and utilities",Estimate!!INDUSTRY!!Information,"Estimate!!INDUSTRY!!Finance and insurance, and real estate and rental and leasing","Estimate!!INDUSTRY!!Professional, scientific, and management, and administrative and waste management services","Estimate!!INDUSTRY!!Educational services, and health care and social assistance","Estimate!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services","Estimate!!INDUSTRY!!Other services, except public administration",Estimate!!INDUSTRY!!Public administration
0500000US31121,"Merrick County, Nebraska",6082,527,301,441,235,611,236,64,133,170,701,267,119,148
0500000US31123,"Morrill County, Nebraska",3983,411,144,126,85,260,308,22,122,84,597,138,106,120
0500000US31125,"Nance County, Nebraska",2992,391,147,183,22,133,129,27,105,41,422,82,59,74
0500000US31127,"Nemaha County, Nebraska",5897,268,245,256,45,274,508,31,173,89,841,318,164,167
0500000US31129,"Nuckolls County, Nebraska",3720,359,78,146,73,312,158,38,100,102,498,92,132,53
0500000US31131,"Otoe County, Nebraska",12331,561,556,1264,153,946,700,148,436,347,1742,514,237,340
0500000US31133,"Pawnee County, Nebraska",2298,225,135,149,52,97,74,12,32,38,424,45,35,77
0500000US31135,"Perkins County, Nebraska",2338,342,38,48,104,136,174,25,75,71,358,70,108,27
0500000US31137,"Phelps County, Nebraska",7366,613,249,597,171,525,329,77,292,302,930,226,233,173
0500000US31139,"Pierce County, Nebraska",5615,432,371,603,179,347,216,29,141,120,1120,127,173,103
0500000US31141,"Platte County, Nebraska",24191,972,1117,4922,465,1483,1231,205,554,996,2737,1099,626,436
0500000US31143,"Polk County, Nebraska",4271,474,246,280,165,260,146,36,117,80,535,139,132,90
0500000US31145,"Red Willow County, Nebraska",8963,410,213,720,217,797,447,129,352,210,1217,466,274,284
0500000US31147,"Richardson County, Nebraska",6856,338,302,398,151,433,371,83,109,206,917,276,154,204
0500000US31149,"Rock County, Nebraska",1343,316,67,10,20,98,57,5,22,50,131,44,78,42
0500000US31151,"Saline County, Nebraska",11135,586,320,1347,171,673,431,79,186,204,1862,340,235,388
0500000US31153,"Sarpy County, Nebraska",112492,480,5233,5204,2633,9067,5154,2058,8523,9420,18030,5864,3488,4334
0500000US31155,"Saunders County, Nebraska",15756,569,1069,1285,296,1308,888,230,670,768,2163,625,543,585
0500000US31157,"Scotts Bluff County, Nebraska",28503,874,1050,976,521,2300,1482,270,1503,887,4659,1234,1169,908
0500000US31159,"Seward County, Nebraska",13203,820,649,1119,322,770,530,130,540,373,2525,342,288,406
0500000US31161,"Sheridan County, Nebraska",4381,511,155,112,92,333,105,17,107,108,685,115,121,194
0500000US31163,"Sherman County, Nebraska",2552,241,138,207,33,193,121,6,80,49,314,74,94,53
0500000US31165,"Sioux County, Nebraska",1124,251,28,38,39,38,50,4,15,38,92,42,19,31
0500000US31167,"Stanton County, Nebraska",4713,330,154,507,121,449,254,11,176,232,711,101,140,168
0500000US31169,"Thayer County, Nebraska",4298,400,232,331,124,270,115,27,134,29,707,66,120,75
0500000US31171,"Thomas County, Nebraska",612,76,38,13,15,57,57,8,10,20,78,35,5,12
0500000US31173,"Thurston County, Nebraska",4739,229,135,199,40,184,148,15,122,79,785,273,72,287
0500000US31175,"Valley County, Nebraska",3471,381,144,120,63,279,78,5,152,96,499,60,157,99
0500000US31177,"Washington County, Nebraska",15537,454,829,1164,204,1011,816,436,799,828,2448,577,478,304
0500000US31179,"Wayne County, Nebraska",7823,589,291,622,145,460,179,48,296,195,1366,363,265,229
0500000US31181,"Webster County, Nebraska",3031,277,90,141,83,125,74,64,45,48,315,92,97,83
0500000US31183,"Wheeler County, Nebraska",609,278,12,25,10,33,29,0,10,4,79,8,14,4
0500000US31185,"York County, Nebraska",11217,631,470,929,213,790,450,93,374,419,1636,685,324,312
0500000US32001,"Churchill County, Nevada",19186,615,816,733,240,1224,780,142,439,916,1412,1530,516,925
0500000US32003,"Clark County, Nevada",1468833,2647,85713,30762,19587,101279,43151,15447,62111,97912,121590,253652,37896,35763
0500000US32005,"Douglas County, Nevada",38806,449,2062,2034,653,2555,754,163,1543,1896,4003,3585,836,1659
0500000US32007,"Elko County, Nevada",35406,5542,2012,557,565,1707,1034,244,795,1234,3541,4603,957,1465
0500000US32009,"Esmeralda County, Nevada",794,95,41,31,7,20,27,20,0,5,53,7,20,57
0500000US32011,"Eureka County, Nevada",1322,435,60,36,28,13,14,16,7,15,142,19,6,68
0500000US32013,"Humboldt County, Nevada",12132,2352,568,175,66,576,409,86,135,530,1093,973,143,373
0500000US32015,"Lander County, Nevada",4178,906,246,42,56,334,197,15,26,109,226,159,10,112
0500000US32017,"Lincoln County, Nevada",3747,163,130,32,21,240,65,15,106,196,429,177,59,201
0500000US32019,"Lyon County, Nevada",40084,286,1667,2609,515,2862,1422,271,854,1316,3220,2270,1093,1886
0500000US32021,"Mineral County, Nevada",4190,13,144,95,28,171,160,68,42,265,402,219,23,338
0500000US32023,"Nye County, Nevada",35626,1154,2053,326,190,1536,924,271,642,1090,2232,2805,619,929
0500000US32027,"Pershing County, Nevada",5559,657,109,96,25,208,122,25,23,31,359,168,39,220
0500000US32029,"Storey County, Nevada",3420,36,287,312,63,141,115,71,94,161,304,191,50,136
0500000US32031,"Washoe County, Nevada",325006,1790,17553,14215,7211,26179,12613,3896,12527,21814,38133,33315,7891,9599
0500000US32033,"White Pine County, Nevada",7617,873,221,38,49,422,106,44,99,136,699,579,97,759
0500000US32510,"Carson City, Nevada",44419,229,1920,2670,396,2872,589,249,1712,1985,4204,3540,975,3672
0500000US33001,"Belknap County, New Hampshire",49089,237,3146,3580,872,4322,930,575,2019,2518,6813,2815,1336,1721
0500000US33003,"Carroll County, New Hampshire",39717,256,2831,1600,522,3841,793,368,1361,1909,4790,3445,1096,937
0500000US33005,"Cheshire County, New Hampshire",63834,422,2898,5864,1639,5724,1551,691,2172,2596,10859,3409,1609,883
0500000US33007,"Coos County, New Hampshire",27967,483,1416,1928,258,2072,696,184,644,835,3691,1988,658,828
0500000US33009,"Grafton County, New Hampshire",73724,700,3973,4132,654,5795,1262,605,2041,3607,15451,4969,1636,1124
0500000US33011,"Hillsborough County, New Hampshire",315017,926,15123,33191,7618,26835,9207,5739,16483,24382,45342,13623,8957,6516
0500000US33013,"Merrimack County, New Hampshire",118040,920,6039,8559,2497,9691,2680,1571,5220,6563,19605,5103,3464,5223
0500000US33015,"Rockingham County, New Hampshire",234370,725,11278,20706,6265,21843,7220,4734,11842,17596,32617,11566,7145,6170
0500000US33017,"Strafford County, New Hampshire",99625,536,3540,8375,1688,9137,2047,1422,4375,6330,16423,5875,2408,2722
0500000US33019,"Sullivan County, New Hampshire",35460,258,1827,3856,575,3065,661,536,1074,1741,6155,1647,985,661
0500000US34001,"Atlantic County, New Jersey",216665,903,8354,4791,3289,14528,5336,1861,6361,9414,26279,36895,4842,7212
0500000US34003,"Bergen County, New Jersey",717394,516,24705,40355,22306,49340,23092,18061,46603,57593,100830,28632,21247,14544
0500000US34005,"Burlington County, New Jersey",354924,1626,11778,18951,8601,24538,12447,6074,18737,25732,51423,13222,9518,17560
0500000US34007,"Camden County, New Jersey",401840,612,14276,20508,9310,30230,13837,5495,18835,28895,62128,19575,11024,11729
0500000US34009,"Cape May County, New Jersey",81342,466,4288,1436,1087,5828,1655,607,3240,3271,10295,6828,1873,3437
0500000US34011,"Cumberland County, New Jersey",122594,1438,3911,8726,1949,7229,3968,833,2879,4643,15947,4915,2692,5162
0500000US34013,"Essex County, New Jersey",607411,455,22135,25830,10575,34408,25431,12371,32213,43932,90944,25050,18068,16708
0500000US34015,"Gloucester County, New Jersey",222782,742,9406,13438,5808,18443,8991,3045,10595,14292,35174,10106,5533,6535
0500000US34017,"Hudson County, New Jersey",507102,174,16537,24851,14623,31875,25620,11499,39086,43892,59836,24639,15614,11719
0500000US34019,"Hunterdon County, New Jersey",101109,482,4225,8399,2141,7559,2117,2650,5797,9546,12716,3943,2531,2784
0500000US34021,"Mercer County, New Jersey",291062,806,8453,16901,5129,16537,6876,4613,14911,23902,43304,12171,7215,15352
0500000US34023,"Middlesex County, New Jersey",636482,594,19080,43679,17143,45241,25885,14185,37495,54347,82433,26381,15884,13355
0500000US34025,"Monmouth County, New Jersey",493191,1751,21868,19575,10646,35231,14782,12095,33552,38990,68712,24720,13044,14718
0500000US34027,"Morris County, New Jersey",384716,485,14485,30394,9291,25534,10056,9819,28091,39041,50656,15669,9774,8692
0500000US34029,"Ocean County, New Jersey",451194,752,22188,15070,8035,33618,13285,6735,16607,22926,59940,19962,11285,13492
0500000US34031,"Passaic County, New Jersey",386557,245,14540,32674,10181,29360,12704,5259,16093,26302,49235,15257,11090,7767
0500000US34033,"Salem County, New Jersey",52205,517,2595,3923,1090,3421,2903,416,1419,2677,6466,1760,1180,1657
0500000US34035,"Somerset County, New Jersey",247734,460,8828,22386,5563,15339,6344,7517,19015,23782,34826,8991,5875,4609
0500000US34037,"Sussex County, New Jersey",117388,525,7222,8159,2575,8608,4334,2102,6187,9058,16388,6251,3413,3211
0500000US34039,"Union County, New Jersey",413813,246,16138,29025,10197,26052,20254,7984,23617,29330,53178,17595,12550,11790
0500000US34041,"Warren County, New Jersey",85582,907,4031,7258,1427,6706,2989,1469,3810,5692,11877,3221,2201,3043
0500000US35001,"Bernalillo County, New Mexico",508447,2610,26578,18728,8754,35101,12265,7218,18283,42374,73186,33771,14822,19969
0500000US35003,"Catron County, New Mexico",3332,326,197,27,23,216,49,28,29,56,250,77,7,7
0500000US35005,"Chaves County, New Mexico",48503,2292,2097,1572,703,3559,1368,338,1269,1430,6937,2593,1370,1312
0500000US35006,"Cibola County, New Mexico",20918,378,980,430,261,1130,439,46,323,290,1985,1133,337,1021
0500000US35007,"Colfax County, New Mexico",11337,516,393,273,13,769,364,127,401,380,1230,946,241,533
0500000US35009,"Curry County, New Mexico",35166,1386,1706,1047,548,2732,1263,350,677,1174,4754,1845,996,1939
0500000US35011,"De Baca County, New Mexico",1435,128,57,50,7,81,50,5,26,20,185,52,25,38
0500000US35013,"Do?a Ana County, New Mexico",153314,2969,6842,4282,1694,9677,3754,1366,3631,7254,24339,8309,4545,6218
