GEO_ID,NAME,CP05_2007_2011_001E,CP05_2007_2011_002E,CP05_2007_2011_003E,CP05_2007_2011_004E,CP05_2007_2011_005E,CP05_2007_2011_006E,CP05_2007_2011_007E,CP05_2007_2011_008E,CP05_2007_2011_009E,CP05_2007_2011_010E,CP05_2007_2011_011E,CP05_2007_2011_012E,CP05_2007_2011_013E,CP05_2007_2011_014E,CP05_2007_2011_015E,CP05_2007_2011_016E,CP05_2007_2011_032E,CP05_2007_2011_033E,CP05_2007_2011_034E,CP05_2007_2011_039E,CP05_2007_2011_047E,CP05_2007_2011_052E
id,Geographic Area Name,2007-2011 Estimates!!SEX AND AGE!!Total population,2007-2011 Estimates!!SEX AND AGE!!Total population!!Male,2007-2011 Estimates!!SEX AND AGE!!Total population!!Female,2007-2011 Estimates!!SEX AND AGE!!Under 5 years,2007-2011 Estimates!!SEX AND AGE!!5 to 9 years,2007-2011 Estimates!!SEX AND AGE!!10 to 14 years,2007-2011 Estimates!!SEX AND AGE!!15 to 19 years,2007-2011 Estimates!!SEX AND AGE!!20 to 24 years,2007-2011 Estimates!!SEX AND AGE!!25 to 34 years,2007-2011 Estimates!!SEX AND AGE!!35 to 44 years,2007-2011 Estimates!!SEX AND AGE!!45 to 54 years,2007-2011 Estimates!!SEX AND AGE!!55 to 59 years,2007-2011 Estimates!!SEX AND AGE!!60 to 64 years,2007-2011 Estimates!!SEX AND AGE!!65 to 74 years,2007-2011 Estimates!!SEX AND AGE!!75 to 84 years,2007-2011 Estimates!!SEX AND AGE!!85 years and over,2007-2011 Estimates!!RACE!!One race!!White,2007-2011 Estimates!!RACE!!One race!!Black or African American,2007-2011 Estimates!!RACE!!One race!!American Indian and Alaska Native,2007-2011 Estimates!!RACE!!One race!!Asian,2007-2011 Estimates!!RACE!!One race!!Native Hawaiian and Other Pacific Islander,2007-2011 Estimates!!RACE!!One race!!Some other race
0500000US48145,"Falls County, Texas",17799,47.6,52.4,5.3,5.5,7.4,9,5.9,11.8,13.1,14.3,6,6.1,7.9,5.3,2.6,68.2,25.6,0.4,0.6,0,3.5
0500000US48147,"Fannin County, Texas",33853,53,47,5.9,6.2,6.1,6.8,5.9,12.1,13,14.8,6.7,5.7,9.3,5,2.4,87.7,7.2,0.7,0.1,0.1,2.1
0500000US48149,"Fayette County, Texas",24397,49.5,50.5,5.7,6.5,6,5.6,4.6,8.7,11.4,15.4,6.8,7.5,11,7.2,3.4,88.9,6.9,0.1,0.7,0,2.5
0500000US48153,"Floyd County, Texas",6507,49.9,50.1,7.4,7.4,9.7,7.4,4.2,12.1,11.3,11.8,5.2,6.4,8.5,5.5,3.2,88.3,2.5,0.1,0.2,0,5.6
0500000US48157,"Fort Bend County, Texas",565295,49.1,50.9,7.5,8.5,8.5,7.9,5.4,12.5,15.9,15.9,6.1,4.6,4.5,2.1,0.7,54.4,21.6,0.3,16.8,0,4.8
0500000US48159,"Franklin County, Texas",10633,49.4,50.6,6.4,7.2,7.1,7.5,5.8,9.2,12.2,13.2,4.4,8.4,10.6,6.6,1.4,92,4.9,1.3,0.2,0,0.6
0500000US48161,"Freestone County, Texas",19573,52.5,47.5,6.2,7,6.4,6.5,4.4,12.9,12.6,14.9,6.8,5.9,9.3,5.3,1.9,73.9,17.7,0.6,0.2,0,6.9
0500000US48163,"Frio County, Texas",17090,58.1,41.9,6.4,5.8,7.9,8.8,8.6,16.6,12.1,12.7,4.8,4.5,6.8,3.4,1.5,86.1,3.6,0.2,0.1,0,9.3
0500000US48165,"Gaines County, Texas",17123,50.5,49.5,10.1,10,8.3,9,7,13.2,12.4,12.1,5.3,3.4,4.6,2.9,1.6,90.5,1.1,1.7,0.2,0.3,3.8
0500000US48167,"Galveston County, Texas",289658,49.4,50.6,6.9,6.9,7.2,7.2,6,13,13.7,15.9,6.8,5.1,6.4,3.6,1.3,78,14,0.4,3,0,2.6
0500000US48169,"Garza County, Texas",6319,64.1,35.9,6.8,6,3.7,4.5,6,17.7,18.5,15.9,4.9,4.3,5.8,4.4,1.5,84.3,5,0.4,0,0,5.2
0500000US48171,"Gillespie County, Texas",24524,48.6,51.4,5,5.3,6.2,5,4.6,7.9,10.2,14.1,8,7.5,13.1,9.6,3.5,96.2,0.2,0.2,0.1,0,1.6
0500000US48175,"Goliad County, Texas",7188,49.8,50.2,5.9,5.9,6.1,7.2,2.3,10,14.6,13.4,7.9,7.4,9.9,6.8,2.4,78.7,4.8,0.1,0.2,0.5,12.6
0500000US48177,"Gonzales County, Texas",19686,50.1,49.9,7.7,8.7,6.7,7.6,5.4,11.5,12.1,13.7,6.7,4.2,8.6,5.6,1.7,60.2,8.1,0,0.1,0,30
0500000US48179,"Gray County, Texas",22628,52.4,47.6,7.5,6.3,6.6,6.2,5.7,12.9,13.4,14.1,5.9,5.4,8,6.1,2,86.8,5,0.6,0.5,0,5.1
0500000US48181,"Grayson County, Texas",119949,48.7,51.3,6.5,6.6,6.9,7,6.4,11.5,12.4,14.8,6.8,5.7,8.4,4.7,2.2,84.3,5.6,1.3,0.8,0,5.1
0500000US48183,"Gregg County, Texas",120728,49,51,7.5,6.9,6.9,7.5,7.4,13.4,12.3,13.8,5.7,5.2,6.9,4.8,1.9,71.5,20.3,0.5,1.2,0,5.1
0500000US48185,"Grimes County, Texas",26455,53.8,46.2,6.1,6.6,6.8,5.8,5.9,13,13.8,15.4,7.8,5.3,8.1,4.2,1.3,73.7,17.1,0.2,0.4,0,6.6
0500000US48187,"Guadalupe County, Texas",127499,49.2,50.8,7,7.6,7.9,7.9,5.7,12.1,14.6,14.7,5.9,5.2,6.7,3.8,1.1,83.6,6.2,0.4,1.4,0.1,5.7
0500000US48189,"Hale County, Texas",36108,52.1,47.9,8.4,8.1,7.6,8.3,7.9,13.2,12.4,12.7,4.7,4.4,6.2,4.3,1.8,82.3,4.9,0.5,0.5,0.1,7.9
0500000US48193,"Hamilton County, Texas",8491,48.6,51.4,5.3,5.5,7.7,6.2,4.4,8.8,11,13.9,5.1,7.7,12.4,7.6,4.5,98.4,0.6,0,0,0,0.4
0500000US48195,"Hansford County, Texas",5524,50.4,49.6,7.9,7.7,8.9,10.4,4.6,9.2,14.3,13,5.7,4.5,7,4.6,2.3,83.9,0.5,0.6,0.7,0.3,12
0500000US48199,"Hardin County, Texas",53984,49.4,50.6,6.8,7.7,7.2,6.9,5.8,12,13.2,14.9,6.4,5.6,7.6,4.4,1.5,90.4,6.1,0.4,0.5,0,1.8
0500000US48201,"Harris County, Texas",4025409,49.8,50.2,8.3,7.8,7.4,7.3,7.3,16.2,14.5,13.5,5.4,4.2,4.7,2.5,0.9,61.2,18.9,0.4,6.2,0.1,11.5
0500000US48203,"Harrison County, Texas",64999,49.5,50.5,7.1,7.5,6.7,7.4,6.5,11.9,12.6,14.8,6.7,5.7,7.5,4.2,1.5,73.9,23,0.1,0.3,0,1.6
0500000US48205,"Hartley County, Texas",5974,61.7,38.3,5.2,7.1,5.6,5.2,1.8,16.6,17.5,18.3,5.3,4.9,6.7,4,1.8,84.2,6.7,0.2,0.1,0,7.8
0500000US48207,"Haskell County, Texas",5877,50.3,49.7,5.6,5,6.7,6.8,3.9,11.6,11.1,14.4,5.1,8.3,10,8.5,2.9,79.8,4.5,0.2,0.3,0,13.3
0500000US48209,"Hays County, Texas",152827,49.8,50.2,6.8,7,6.6,9.7,12.8,13.4,12.8,12.7,5.3,4.5,5,2.8,0.7,76.1,3.4,0.6,1.4,0,16.7
0500000US48213,"Henderson County, Texas",78394,49.1,50.9,6,6.6,6.3,6.5,5.4,10.3,12,14.2,6.6,7,11.1,6.1,1.9,88.4,6.6,0.6,0.3,0.1,2.7
